,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,bulusan,12.75,124.14,80.6,80,100,1.5,PH,1597681843
142,manjacaze,-24.71,33.88,62.46,77,60,5.91,MZ,1597681843
143,port blair,11.67,92.75,82.02,80,100,10.69,IN,1597681844
144,dongling,41.81,123.58,80.6,88,90,11.18,CN,1597681844
145,axim,4.87,-2.24,76.08,79,87,11.14,GH,1597681845
146,chulman,56.85,124.91,35.74,90,2,3.53,RU,1597681552
147,cabra,37.47,-4.44,91.0,24,0,4.0,ES,1597681845
148,paamiut,61.99,-49.67,48.56,61,0,13.15,GL,1597681845
149,nanakuli,21.39,-158.15,77.0,78,1,8.25,US,1597681845
150,khandyga,62.67,135.6,48.34,65,100,3.42,RU,1597681845
151,labuhan,-6.88,112.21,77.81,79,36,6.44,ID,1597681846
152,suamico,44.63,-88.04,79.0,50,1,3.36,US,1597681846
153,sur,22.57,59.53,88.72,60,52,12.82,OM,1597681846
154,kloulklubed,7.04,134.26,77.0,94,90,6.93,PW,1597681846
155,noumea,-22.28,166.46,73.0,100,90,3.36,NC,1597681736
156,chapada dos guimaraes,-15.46,-55.75,95.0,32,0,3.36,BR,1597681847
157,lagoa,39.05,-27.98,74.52,88,94,31.25,PT,1597681847
158,qaanaaq,77.48,-69.36,40.96,66,66,7.31,GL,1597681847
159,grand gaube,-20.01,57.66,71.01,69,2,3.0,MU,1597681848
160,new norfolk,-42.78,147.06,48.99,90,28,2.19,AU,1597681848
161,clarence town,-32.58,151.78,54.0,71,15,10.29,AU,1597681849
162,kruisfontein,-34.0,24.73,64.99,21,59,1.01,ZA,1597681849
163,santa rosa,14.31,121.11,82.0,94,99,1.12,PH,1597681849
164,smithers,54.78,-127.17,60.8,87,40,3.36,CA,1597681849
165,suslovo,56.22,88.12,59.83,95,0,6.11,RU,1597681850
166,tezu,27.92,96.17,75.33,86,98,1.59,IN,1597681850
167,yingcheng,30.95,113.55,82.4,83,6,4.47,CN,1597681850
168,severo-kurilsk,50.68,156.12,50.81,91,77,1.1,RU,1597681850
169,wloclawek,52.65,19.07,75.0,60,89,6.46,PL,1597681850
170,mufumbwe,-13.68,24.8,71.98,21,14,3.09,ZM,1597681851
171,djibo,14.1,-1.63,93.15,40,75,5.19,BF,1597681851
172,kaspiysk,42.88,47.64,73.4,64,4,8.95,RU,1597681851
173,sibu,2.3,111.82,75.2,94,40,3.36,MY,1597681851
174,chapais,49.78,-74.85,62.6,82,90,8.05,CA,1597681851
175,zalesovo,53.99,84.74,60.91,86,48,1.01,RU,1597681852
176,caravelas,-17.71,-39.25,80.35,64,16,10.18,BR,1597681852
177,awjilah,29.11,21.29,95.0,18,0,7.83,LY,1597681852
178,namatanai,-3.67,152.43,78.85,83,8,10.83,PG,1597681852
179,nanortalik,60.14,-45.24,49.84,61,97,8.97,GL,1597681853
180,dubbo,-32.25,148.62,44.6,93,90,3.36,AU,1597681853
181,balikpapan,-1.27,116.83,79.23,80,89,8.14,ID,1597681853
182,tadine,-21.55,167.88,73.29,86,76,14.41,NC,1597681854
183,belyy yar,53.6,91.39,62.6,88,94,4.47,RU,1597681854
184,belaya gora,68.53,146.42,40.98,87,97,8.34,RU,1597681854
185,airai,-8.93,125.41,55.76,82,0,2.84,TL,1597681854
186,port lincoln,-34.73,135.87,53.01,73,18,17.2,AU,1597681855
187,iquique,-20.22,-70.14,62.6,59,75,12.75,CL,1597681855
188,harper,4.38,-7.72,76.46,73,76,8.28,LR,1597681855
189,baryshivka,50.36,31.32,82.4,28,4,6.71,UA,1597681855
190,mopipi,-21.18,24.88,71.94,20,0,5.12,BW,1597681855
191,san patricio,19.22,-104.7,89.6,66,75,8.37,MX,1597681855
192,port hueneme,34.15,-119.2,73.0,83,40,3.36,US,1597681855
193,mitchell,43.71,-98.03,75.2,60,1,4.7,US,1597681856
194,morgan city,29.7,-91.21,87.01,74,20,6.93,US,1597681856
195,cidreira,-30.18,-50.21,62.37,59,0,6.82,BR,1597681856
196,kavieng,-2.57,150.8,81.66,79,10,9.71,PG,1597681856
197,rawson,-43.3,-65.1,56.3,38,61,34.81,AR,1597681856
198,ust-kuyga,70.02,135.6,40.87,80,99,4.18,RU,1597681857
199,carutapera,-1.2,-46.02,84.38,73,55,10.92,BR,1597681857
200,vila velha,-20.33,-40.29,82.99,65,20,14.99,BR,1597681824
201,uvat,59.14,68.9,55.44,96,100,7.74,RU,1597681857
202,perpignan,42.75,2.75,84.99,32,100,10.29,FR,1597681565
203,hargeysa,9.56,44.06,80.29,48,82,16.08,SO,1597681858
204,sistranda,63.73,8.83,66.2,63,0,10.29,NO,1597681858
205,kailua,21.4,-157.74,80.6,65,20,10.29,US,1597681858
206,laramie,41.31,-105.59,73.0,33,1,3.36,US,1597681662
207,mandalgovi,45.76,106.27,54.52,63,2,13.33,MN,1597681858
208,westport,41.14,-73.36,78.01,64,1,10.29,US,1597681743
209,victoria,22.29,114.16,82.0,83,97,4.0,HK,1597681859
210,sao gabriel da cachoeira,-0.13,-67.09,82.4,78,40,4.7,BR,1597681859
211,betsiamites,48.94,-68.65,66.2,72,75,10.29,CA,1597681859
212,pisco,-13.7,-76.22,64.0,77,75,9.17,PE,1597681860
213,greenville,35.61,-77.37,82.0,65,40,3.18,US,1597681827
214,sulangan,11.14,123.72,83.52,72,100,4.34,PH,1597681860
215,mahebourg,-20.41,57.7,71.6,73,40,9.17,MU,1597681860
216,olafsvik,64.89,-23.71,57.34,79,70,10.22,IS,1597681860
